0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
ALIMENTATION COUCHE TARD,5.62,2/12/2054,"7,000,000","7,000,000"
ALLEGIANT TRAVEL CO,7.25,8/15/2027,"33,262,000","32,942,832"
ALLEGION US HOLDING CO,5.60,5/29/2034,"5,000,000","4,983,500"
ALLIANT HOLD / CO ISSUER,7.00,1/15/2031,"49,501,000","50,268,321"
ALLIANT HOLD / CO ISSUER,5.88,11/1/2029,"2,752,000","2,755,063"
ALLIANT HOLD / CO ISSUER,6.75,4/15/2028,"49,446,000","49,029,169"
ALLIANT HOLD / CO ISSUER,4.25,10/15/2027,"25,176,000","23,796,459"
ALLIANT HOLD / CO ISSUER,6.75,10/15/2027,"10,766,000","10,657,231"
ALLIED UNIVERSAL,6.00,6/1/2029,"500,000","435,619"
ALLIED UNIVERSAL,6.63,7/15/2026,"1,264,000","1,227,907"
ALLIED UNIVERSAL HOLDCO,7.88,2/15/2031,"31,665,000","31,740,669"
ALLISON TRANSMISSION INC,3.75,1/30/2031,"33,588,000","29,418,555"
ALLISON TRANSMISSION INC,5.88,6/1/2029,"21,820,000","21,450,583"
ALLSTATE CORP,3.85,8/10/2049,"2,258,000","2,362,487"
ALLSTATE CORP,5.25,3/30/2033,"3,000,000","2,991,362"
ALLY FINANCIAL INC,8.00,11/1/2031,"23,528,000","29,986,163"
ALPHABET INC,2.05,8/15/2050,"35,000,000","28,608,694"
ALPHABET INC,1.90,8/15/2040,"11,500,000","9,458,806"
ALTA EQUIPMENT GROUP,9.00,6/1/2029,"11,275,000","10,944,235"
ALTAR BIDCO  INC.,1.00,2/1/2029,"2,977,215","2,980,937"
ALTICE FRANCE SA,5.50,10/15/2029,"7,056,000","4,808,806"
ALTICE FRANCE SA,5.13,7/15/2029,"31,709,000","22,461,114"
ALTICE FRANCE SA,5.13,1/15/2029,"335,000","226,842"
ALTICE FRANCE SA,8.13,2/1/2027,"2,000,000","1,554,245"
AMAZON.COM INC,4.10,4/13/2062,"5,000,000","4,977,897"
AMAZON.COM INC,3.25,5/12/2061,"10,000,000","10,802,065"
AMAZON.COM INC,2.70,6/3/2060,"51,552,000","43,642,288"
AMAZON.COM INC,4.25,8/22/2057,"38,600,000","40,916,267"
AMAZON.COM INC,3.10,5/12/2051,"187,600,000","184,581,623"
AMAZON.COM INC,4.05,8/22/2047,"44,406,000","46,102,088"
AMAZON.COM INC,2.88,5/12/2041,"11,000,000","11,229,238"
AMAZON.COM INC,3.88,8/22/2037,"29,300,000","29,735,517"
AMAZON.COM INC,4.70,12/1/2032,"38,650,000","39,076,702"
AMBAC ASSURANCE CORP,5.10,12/31/2099,16,23
AMC ENTERTAINMENT HLDGS,7.50,2/15/2029,"9,250,000","7,779,093"
AMC NETWORKS INC,4.25,2/15/2029,"23,345,000","16,761,501"
AMC NETWORKS INC,10.25,1/15/2029,"8,475,000","8,519,932"
AMCOR FINANCE USA INC,5.63,5/26/2033,"11,000,000","10,902,746"
AMER AIRLINE 21 1A EETC,2.88,1/11/2036,"25,040,680","24,459,880"
AMER AIRLN 15 1 A PTT,3.38,11/1/2028,"11,438,477","10,485,436"
AMEREN CORP,3.50,1/15/2031,"300,000","300,275"
AMEREN ILLINOIS CO,5.90,12/1/2052,"9,500,000","9,717,115"
AMEREN ILLINOIS CO,2.90,6/15/2051,"18,000,000","16,974,962"
AMEREN ILLINOIS CO,4.50,3/15/2049,"3,346,000","3,891,940"
AMEREN ILLINOIS CO,3.70,12/1/2047,"20,368,000","20,704,126"
AMEREN ILLINOIS CO,4.15,3/15/2046,"6,882,000","7,158,878"
AMEREN ILLINOIS CO,3.85,9/1/2032,"16,863,000","16,774,671"
AMERICA MOVIL SAB DE CV,4.38,7/16/2042,"33,534,000","34,575,397"
AMERICA MOVIL SAB DE CV,6.13,3/30/2040,"33,096,000","38,925,829"
AMERICAN AIRLINES INC,8.50,5/15/2029,"17,785,000","17,989,148"
AMERICAN AIRLINES INC,7.25,2/15/2028,"16,185,000","16,069,478"
"AMERICAN AIRLINES, INC.",1.00,4/20/2028,"7,181,287","7,390,673"
AMERICAN AIRLINES/AADVAN,5.75,4/20/2029,"131,716,907","128,801,982"
