0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
HEILONGJIANG AGRICULTURE A,"58,000","110,529","99,225"
HEINEKEN HOLDING NV,"229,478","17,795,283","18,113,797"
HEINEKEN NV,"574,864","52,498,052","55,634,945"
HEIWA CORP,"80,800","1,269,808","1,040,768"
HEIWA REAL ESTATE CO LTD,"55,500","1,237,406","1,352,483"
HEIWADO CO LTD,"50,500","841,468","758,475"
HELENS INTERNATIONAL HOLDING,"513,000","618,724","147,184"
HELIA GROUP LTD,"613,295","1,245,118","1,585,129"
HELLO GROUP INC  SPN ADR,"229,662","1,291,554","1,405,542"
HELLOFRESH SE,"270,725","2,079,435","1,311,481"
HELVETIA HOLDING AG REG,"63,665","7,765,441","8,608,200"
HEMNET GROUP AB,"144,455","4,362,150","4,367,670"
HENAN MINGTAI AL INDUSTRIA A,"204,300","412,747","323,485"
HENAN SHENHUO COAL + POWER A,"233,000","711,092","645,623"
HENAN SHUANGHUI INVESTMENT A,"169,849","632,721","552,995"
HENDERSON LAND DEVELOPMENT,"7,023,196","31,504,525","18,846,147"
HENGAN INTL GROUP CO LTD,"3,217,283","16,249,701","9,807,533"
HENGDIAN GROUP DMEGC  A,"71,900","155,407","122,809"
HENGLI PETROCHEMICAL CO L A,"123,269","273,526","235,538"
HENGTONG OPTIC ELECTRIC CO A,"101,600","217,214","219,460"
HENGYI PETROCHEMICAL CO  A,"222,900","227,412","216,466"
HENKEL AG + CO KGAA,"499,481","36,341,185","39,319,193"
HENKEL AG + CO KGAA VOR PREF,"418,925","34,839,858","37,364,371"
HENNES + MAURITZ AB B SHS,"1,114,983","22,934,231","17,650,941"
HENSOLDT AG,"94,949","3,320,560","3,494,496"
HERA SPA,"1,498,180","5,260,062","5,128,983"
HERMES INTERNATIONAL,"62,683","81,921,955","143,770,153"
HERO MOTOCORP LTD,"212,302","9,678,807","14,205,574"
HESTEEL CO LTD A,"457,900","142,140","121,676"
HEXAGON AB B SHS,"9,966,402","102,140,616","112,602,217"
HEXPOL AB,"451,408","4,051,581","5,029,803"
HFCL LTD,"1,194,645","1,241,586","1,621,350"
HIBISCUS PETROLEUM BHD,"240,000","136,243","118,537"
HIGHWEALTH CONSTRUCTION CORP,"3,500,513","4,757,150","5,621,721"
HIKARI TSUSHIN INC,"137,490","22,970,157","25,611,637"
HIKMA PHARMACEUTICALS PLC,"285,477","6,979,382","6,824,289"
HILAN LTD,"25,009","1,070,142","1,293,203"
HILL + SMITH PLC,"164,179","3,862,905","4,080,285"
HIMADRI SPECIALITY CHEMICAL,"354,813","1,391,879","1,677,323"
HINDALCO INDUSTRIES LTD,"2,646,200","14,327,360","22,009,192"
HINDUSTAN AERONAUTICS LTD,"484,269","17,565,395","30,571,885"
HINDUSTAN CONSTRUCTION CO,"2,008,644","872,941","1,148,042"
