0,1,2
,,"Agenda Item 5b, Attachment 1, Page 3 of 14"
,"Private Equity Annual Program Review as of March 31, 2024",
,Program Overview,
,•,"Enhance equity returns through an active, value-added approach"
Role,•,"Drive returns through appreciation, sometimes with leverage; negligible cash yield"
,•,Harvest the illiquidity premium
,•,"AUM at $72.6bn as of March 31, 2024"
,•,"Buyout at $48.9bn (67.4%), Growth at $15.8bn (21.7%), Opportunistic at $6.0bn"
,,"(8.3%), Credit at $1.1bn (1.5%), and Venture at $0.8bn (1%)"
Key Metrics,,
,•,"U.S. portfolio at $55.6bn (76.5%), Europe portfolio at $14.6bn (20.1%), EM at"
,,"$1.6bn (2.2%), and Developed Asia at $0.8bn (1.1%)"
,•,Approximately 126 managers and 363 funds1
,•,A long investment horizon is a responsibility and an advantage (IB 2)
,•,Take risk only where we have a strong belief we will be rewarded for it (IB 7)
Investment,,
,•,Costs matter and need to be effectively managed (IB 8)
Beliefs,,
,•,Strong processes and teamwork and deep resources are needed to achieve
,,CalPERS goals and objectives (IB 10)
