0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
GRACO INC,"359,279","17,624,325","28,483,663"
GRAIL INC,"47,702","1,374,717","733,200"
GRAND CANYON EDUCATION INC,"170,458","16,233,848","23,848,779"
GRAPHIC PACKAGING HOLDING CO,"579,600","10,933,662","15,191,323"
GUARDANT HEALTH INC,"153,809","11,848,228","4,442,008"
GUIDEWIRE SOFTWARE INC,"379,585","44,360,415","52,340,992"
GXO LOGISTICS INC,"201,734","8,196,284","10,187,574"
"H F SPOCK 1, L.P","98,004,268","98,004,268","322,461,385"
H.B. FULLER CO.,"68,743","4,760,163","5,290,463"
H+R BLOCK INC,"612,391","24,344,986","33,209,964"
HAEMONETICS CORP/MASS,"239,648","20,767,294","19,826,080"
HALLIBURTON CO,"1,752,183","44,609,626","59,189,402"
HALOZYME THERAPEUTICS INC,"241,568","7,075,824","12,648,512"
HANCOCK WHITNEY CORP,"146,885","7,056,492","7,025,512"
HANOVER INSURANCE GROUP INC/,"146,893","16,016,353","18,426,264"
HARDWOOD HOLDINGS CS,"2,059","15,443","98,832"
HARLEY DAVIDSON INC,"220,489","7,626,322","7,395,209"
HARTFORD FINANCIAL SVCS GRP,"1,552,832","131,252,918","156,121,729"
HARVEST NATURAL RESOURCES IN,"13,475",0,0
HASBRO INC,"222,002","17,215,085","12,987,136"
HCA HEALTHCARE INC,"891,911","181,964,871","286,553,182"
HEALTHEQUITY INC,"310,185","23,106,537","26,737,948"
HEICO CORP,"43,455","5,591,534","9,716,974"
HEICO CORP CLASS A,"161,953","14,482,766","28,749,899"
HELEN OF TROY LTD,"40,902","4,829,833","3,793,253"
HELMERICH + PAYNE,"159,102","6,585,430","5,749,947"
HENRY SCHEIN INC,"601,841","36,103,785","38,578,008"
HERC HOLDINGS INC,"47,686","6,007,445","6,356,069"
HERE MEDIA INC,"3,622",0,0
HERE MEDIA INC SPL SHRS,"3,622",0,1
HERSHEY CO/THE,"728,523","93,073,446","133,924,383"
HESS CORP,"484,419","36,540,930","71,461,491"
HEWLETT PACKARD ENTERPRISE,"11,130,988","171,035,701","235,643,016"
HEXCEL CORP,"153,186","8,344,327","9,566,509"
HF SINCLAIR CORP,"327,942","14,563,260","17,492,426"
HIGHLAND RESTORATION CAP PTNRS,"494,063","494,063","1,278,313"
HILLENBRAND INC,"115,601","3,308,312","4,626,355"
HILTON GRAND VACATIONS INC,"149,267","5,377,067","6,034,874"
HILTON WORLDWIDE HOLDINGS IN,"545,477","56,979,562","119,023,083"
HINES EUROPEAN DEVELOPMENT FD,"(400,969)","(400,969)","(400,969)"
HIPCRICKET INC,"120,300",0,0
HOLOGIC INC,"1,122,128","70,192,864","83,318,004"
