0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
KATITAS CO LTD,"83,100","1,826,906","900,431"
KATO SANGYO CO LTD,"39,391","1,089,236","1,055,400"
KAWASAKI HEAVY INDUSTRIES,"245,100","6,918,469","9,309,789"
KAWASAKI KISEN KAISHA LTD,"935,700","9,899,873","13,611,482"
KAYNES TECHNOLOGY INDIA LTD,"39,497","1,355,515","1,825,190"
KB FINANCIAL GROUP INC,"694,007","31,939,837","39,578,792"
KB FINANCIAL GROUP INC ADR,"14,520","539,367","821,977"
KBC ANCORA,"59,180","2,678,493","2,759,047"
KBC CORP LTD A,"43,298","410,266","167,834"
KBC GROUP NV,"411,143","26,022,204","29,038,556"
KCC CORP,"9,098","1,974,871","2,039,037"
KCE ELECTRONICS   NVDR,"68,700","80,837","78,628"
KCE ELECTRONICS PCL FOREIGN,"1,379,500","1,495,666","1,578,827"
KDDI CORP,"7,690,281","194,196,711","203,372,220"
KE HOLDINGS INC ADR,"1,040,263","22,936,712","14,719,754"
KEC INTERNATIONAL LTD,"172,369","1,057,185","1,833,308"
KEDA INDUSTRIAL GROUP CO L A,"71,600","118,923","82,674"
KEDGE CONSTRUCTION CO LTD,"26,000","82,167","74,855"
KEE TAI PROPERTIES CO LTD,"25,000","11,923","14,102"
KEHUA DATA CO LTD  A,"60,400","256,712","174,809"
KEI INDUSTRIES LTD,"90,894","2,196,161","4,817,849"
KEIHAN HOLDINGS CO LTD,"464,900","12,609,447","8,317,702"
KEIHANSHIN BUILDING CO LTD,"49,400","389,038","514,396"
KEIKYU CORP,"1,046,900","11,207,084","7,650,323"
KEIO CORP,"550,526","28,622,593","12,775,790"
KEISEI ELECTRIC RAILWAY CO,"613,864","19,326,000","19,752,332"
KEIYO BANK LTD/THE,"177,600","789,947","969,370"
KELINGTON GROUP BHD,"185,400","100,712","134,408"
KELSIAN GROUP LTD,"342,219","1,317,806","1,177,039"
KEMIRA OYJ,"215,105","3,490,536","5,247,081"
KENDA RUBBER INDUSTRIAL CO,"1,400,961","1,649,791","1,455,312"
KENON HOLDINGS LTD,"36,073","871,282","899,718"
KEPCO ENGINEERING + CONSTRUC,"21,968","1,370,196","1,094,816"
KEPCO PLANT SERVICE + ENGINE,"39,807","1,719,016","1,097,499"
KEPLER WEBER SA,"16,600","31,892","28,631"
KEPPEL INFRASTRUCTURE TRUST,"6,187,899","2,333,920","2,145,961"
KEPPEL LTD,"6,405,909","24,261,584","30,582,080"
KERING,"92,255","34,602,511","33,470,649"
KERJAYA PROSPEK GROUP BHD,"122,000","46,467","46,809"
KERRY LOGISTICS NETWORK LTD,"464,042","718,389","446,980"
KERRY PROPERTIES LTD,"1,052,085","3,465,468","1,829,993"
KERRY TJ LOGISTICS CO LTD,"28,000","36,445","34,955"
