0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
OWENS CORNING,987,"139,557","171,462"
P G + E CORP,"23,636","385,571","412,685"
PACCAR INC,"6,210","510,142","639,257"
PACKAGING CORP OF AMERICA,"1,000","145,520","182,560"
PALANTIR TECHNOLOGIES INC A,"22,632","350,319","573,269"
PALO ALTO NETWORKS INC,"3,629","902,738","1,230,267"
PARKER HANNIFIN CORP,"1,413","582,820","714,710"
PAYCHEX INC,"4,028","488,931","477,560"
PAYCOM SOFTWARE INC,592,"169,452","84,680"
PAYLOCITY HOLDING CORP,553,"110,138","72,913"
PAYPAL HOLDINGS INC,"11,266","716,680","653,766"
PEPSICO INC,"16,968","2,952,489","2,798,532"
PFIZER INC,"65,039","2,284,303","1,819,791"
PHILLIPS 66,"4,846","566,396","684,110"
PINTEREST INC  CLASS A,"7,220","208,672","318,185"
PNC FINANCIAL SERVICES GROUP,"4,797","578,979","745,838"
POOL CORP,407,"145,767","125,083"
PPG INDUSTRIES INC,"2,522","344,009","317,495"
PPL CORP,"10,285","253,678","284,380"
PRINCIPAL FINANCIAL GROUP,"2,723","210,211","213,619"
PROCTER + GAMBLE CO/THE,"27,268","4,161,386","4,497,039"
PROGRESSIVE CORP,"6,597","893,733","1,370,263"
PRUDENTIAL FINANCIAL INC,"4,132","390,267","484,229"
PTC INC,"1,488","218,259","270,325"
PUBLIC SERVICE ENTERPRISE GP,"6,214","367,092","457,972"
PULTEGROUP INC,"2,474","194,071","272,387"
PURE STORAGE INC   CLASS A,"3,487","214,611","223,900"
QORVO INC,910,"98,827","105,596"
QUALCOMM INC,"12,602","1,474,629","2,510,066"
QUANTA SERVICES INC,"1,545","323,414","392,569"
QUEST DIAGNOSTICS INC,"1,357","172,541","185,746"
RAYMOND JAMES FINANCIAL INC,"2,100","223,188","259,581"
RB GLOBAL INC,"4,958","322,282","378,060"
REGENERON PHARMACEUTICALS,"1,184","976,161","1,244,420"
REGIONS FINANCIAL CORP,"10,279","188,324","205,991"
RELIANCE INC,559,"151,559","159,650"
REPLIGEN CORP,562,"95,490","70,846"
REPUBLIC SERVICES INC,"2,183","317,748","424,244"
RESMED INC,"1,600","246,732","306,272"
REVVITY INC,"1,271","142,412","133,277"
RIVIAN AUTOMOTIVE INC A,"7,196","161,324","96,570"
ROBINHOOD MARKETS INC   A,"4,845","58,194","110,030"
