0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
INNER MONGOLIA YILI INDUS A,"15,300","54,504","54,411"
INNER MONGOLIA YITAI COAL B,"36,400","49,759","65,374"
INNER MONGOLIA YUAN XING A,"6,100","6,269","5,801"
INNOLUX CORP,"303,000","135,823","134,027"
INNOVENT BIOLOGICS INC,"45,500","207,657","214,463"
INPEX CORP,"28,000","408,999","412,010"
INPOST SA,"6,113","109,583","107,840"
INSURANCE AUSTRALIA GROUP,"61,211","227,596","291,882"
INTACT FINANCIAL CORP,"4,984","722,182","830,491"
INTERCONEXION ELECTRICA SA,"17,846","70,516","78,375"
INTERCONTINENTAL HOTELS GROU,"4,866","376,386","512,141"
INTERGLOBE AVIATION LTD,"6,088","216,540","308,698"
INTERSHOP HOLDING AG,985,"131,703","129,565"
INTERTEK GROUP PLC,"5,027","267,176","304,641"
INTESA SANPAOLO,"423,826","1,144,781","1,576,652"
INTL CONTAINER TERM SVCS INC,"33,440","120,639","199,582"
INVENTEC CORP,"94,000","164,716","161,682"
INVESTMENT AB LATOUR B SHS,"3,874","85,020","104,695"
INVESTOR AB B SHS,"48,367","939,209","1,325,386"
IOI CORP BHD,"94,500","81,478","74,118"
IPSEN,939,"114,205","115,230"
ISOFTSTONE INFORMATION TEC A,"2,100","6,889","10,176"
ISRAEL DISCOUNT BANK A,"31,663","159,019","157,928"
ISUZU MOTORS LTD,"19,100","250,728","253,028"
ITAU UNIBANCO HOLDING S PREF,"173,392","950,199","1,011,736"
ITAUSA SA,"198,994","351,395","351,812"
ITOCHU CORP,"33,500","1,305,618","1,635,640"
IVANHOE MINES LTD CL A,"18,522","178,638","238,911"
JA SOLAR TECHNOLOGY CO LTD A,"6,900","25,845","10,636"
JAPAN AIRLINES CO LTD,"5,900","114,762","93,107"
JAPAN EXCHANGE GROUP INC,"13,700","253,935","319,547"
JAPAN POST BANK CO LTD,"40,200","333,367","379,733"
JAPAN POST HOLDINGS CO LTD,"59,600","482,268","590,961"
JAPAN POST INSURANCE CO LTD,"5,400","88,285","104,771"
JARDINE MATHESON HLDGS LTD,"4,600","217,856","162,748"
JARIR MARKETING CO,"20,100","78,235","67,936"
JBS SA,"30,598","120,320","177,767"
JCET GROUP CO LTD A,"2,000","9,117","8,728"
JD HEALTH INTERNATIONAL INC,"38,950","211,906","106,013"
JD LOGISTICS INC,"64,000","88,333","68,694"
JD SPORTS FASHION PLC,"77,496","132,735","117,065"
JD.COM INC CLASS A,"83,300","1,394,592","1,102,145"
