0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
CIA SANEAMENTO BASICO DE SP,"11,719","137,955","158,175"
CIA SIDERURGICA NACIONAL SA,"27,187","76,691","63,190"
CIA SUD AMERICANA DE VAPORES,"544,318","34,868","34,461"
CIBUS NORDIC REAL ESTAT PUBL,"10,631","114,043","158,408"
CIE FINANCIERE RICHEMO A REG,"15,285","2,132,745","2,385,623"
CIMB GROUP HOLDINGS BHD,"248,900","302,784","358,775"
CIPLA LTD,"18,571","271,188","329,785"
CITIC LTD,"198,000","196,439","180,060"
CITIC SECURITIES CO A,"23,700","72,040","59,462"
CITIC SECURITIES CO LTD H,"65,500","131,511","96,479"
CITY DEVELOPMENTS LTD,"78,500","386,214","298,882"
CITYCON OYJ,"15,614","88,691","66,101"
CJ CHEILJEDANG CORP,309,"72,101","86,538"
CK ASSET HOLDINGS LTD,"60,000","319,140","224,787"
CK HUTCHISON HOLDINGS LTD,"79,500","421,841","380,831"
CK INFRASTRUCTURE HOLDINGS L,"17,500","86,428","98,849"
CLARIANT AG REG,"6,169","100,527","97,073"
CLICKS GROUP LTD,"8,729","123,818","164,618"
CLP HOLDINGS LTD,"50,500","385,773","408,145"
CMOC GROUP LTD A,"36,700","31,040","42,933"
CMOC GROUP LTD H,"129,000","84,745","117,973"
CNGR ADVANCED MATERIAL CO  A,"2,100","11,342","8,957"
CNH INDUSTRIAL NV,"11,757","126,848","119,098"
CNPC CAPITAL CO LTD A,"14,200","12,787","10,788"
CO FOR COOPERATIVE INSURANCE,"2,553","91,203","98,402"
COAL INDIA LTD,"59,569","253,173","338,001"
COCA COLA EUROPACIFIC PARTNE,"6,095","387,966","444,143"
COCA COLA FEMSA SAB DE CV,"18,809","157,369","161,361"
COCA COLA HBC AG DI,"7,018","198,417","239,352"
COCA COLA ICECEK AS,"2,745","56,922","69,162"
COCHLEAR LTD,"1,926","341,990","427,238"
COLES GROUP LTD,"39,250","399,133","446,409"
COLGATE PALMOLIVE (INDIA),"5,574","161,778","190,049"
COLOPLAST B,"3,533","402,317","424,781"
COMMERCIAL BANK PSQC,"121,799","186,312","143,476"
COMMERZBANK AG,"29,998","322,654","456,053"
COMMONWEALTH BANK OF AUSTRAL,"46,944","3,102,270","3,993,561"
COMPAGNIE DE SAINT GOBAIN,"12,969","820,851","1,009,384"
COMPAL ELECTRONICS,"139,000","138,314","148,677"
COMPANHIA PARANAENSE  PREF B,"34,079","65,429","57,060"
COMPASS GROUP PLC,"50,978","1,302,319","1,391,931"
COMPUTERSHARE LTD,"15,907","260,330","279,823"
