0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
SAMSUNG SECURITIES CO LTD,"134,593","4,397,974","3,891,688"
SAMTY HOLDINGS CO LTD /JAPAN,"48,682","911,116","751,144"
SAMVARDHANA MOTHERSON INTERN,"4,109,254","5,188,829","9,378,833"
SAMYANG FOODS CO LTD,"20,285","7,771,101","9,858,823"
SAN A CO LTD,"30,100","954,664","944,954"
SAN AI OBBLI CO LTD,"101,100","878,619","1,296,605"
SAN FANG CHEMICAL,"181,000","177,705","172,957"
SAN FAR PROPERTY LTD,"112,000","119,169","141,892"
SAN FU CHEMICAL CO LTD,"3,000","13,044","12,946"
SAN IN GODO BANK LTD/THE,"288,100","1,881,349","2,566,504"
SAN SHING FASTECH CORP,"16,000","28,122","27,964"
SANDFIRE RESOURCES LTD,"783,070","3,812,122","4,565,582"
SANDOZ GROUP AG,"1,371,324","40,533,936","49,658,229"
SANDS CHINA LTD,"5,047,200","15,808,851","10,524,451"
SANDVIK AB,"2,082,673","36,115,982","41,770,670"
SANGETSU CORP,"98,500","1,493,668","1,825,377"
SANGFOR TECHNOLOGIES INC A,"14,745","127,638","102,052"
SANKEN ELECTRIC CO LTD,"31,600","1,845,000","1,352,717"
SANKI ENGINEERING CO LTD,"77,400","880,574","1,024,405"
SANKYO CO LTD,"255,100","2,207,928","2,768,914"
SANKYU INC,"88,511","3,693,410","3,019,714"
SANLAM LTD,"3,115,014","13,329,597","13,804,784"
SANOFI,"3,496,762","320,131,229","337,064,212"
SANOFI CONSUMER HEALTHCARE,"13,691","532,113","619,414"
SANOFI INDIA LTD,"13,412","724,460","1,045,460"
SANRIO CO LTD,"342,900","3,885,858","6,305,476"
SANSAN INC,"135,600","1,330,780","1,458,339"
SANSIRI PUBLIC CO LTD FORGN,"24,475,400","982,359","1,113,807"
SANTAM LTD,"63,224","1,107,322","1,127,961"
SANTEN PHARMACEUTICAL CO LTD,"1,550,670","21,005,572","15,847,952"
SANTOS BRASIL PARTICIPACOES,"1,497,600","2,902,686","3,680,344"
SANTOS LTD,"5,504,374","31,219,436","28,158,901"
SANWA HOLDINGS CORP,"359,800","4,225,658","6,579,352"
SANY HEAVY EQUIPMENT INTL,"1,251,000","1,668,036","778,732"
SANY HEAVY INDUSTRY CO LTD A,"348,274","818,290","787,106"
SANYANG MOTOR CO LTD,"918,000","1,195,439","2,232,660"
SANYO CHEMICAL INDUSTRIES,"17,500","568,153","433,533"
SANYO DENKI CO LTD,"15,200","628,475","687,905"
SAO MARTINHO SA,"59,000","322,143","347,665"
SAP SE,"4,949,909","622,158,362","1,005,416,363"
SAPIENS INTERNATIONAL CORP,"55,212","1,327,205","1,843,722"
SAPPI LIMITED,"1,302,677","3,294,407","3,462,907"
