0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
ARIZONA PUBLIC SERVICE,4.35,11/15/2045,"45,000","35,334"
ARIZONA PUBLIC SERVICE,4.50,4/1/2042,"49,000","40,300"
ARIZONA PUBLIC SERVICE,5.05,9/1/2041,"16,000","13,983"
ARKO CORP,5.13,11/15/2029,"666,000","590,602"
ARTHUR J GALLAGHER + CO,6.75,2/15/2054,"730,000","721,117"
ARTHUR J GALLAGHER + CO,5.75,3/2/2053,"940,000","890,972"
ARTHUR J GALLAGHER + CO,3.05,3/9/2052,"1,500,000","931,013"
ARTHUR J GALLAGHER + CO,3.50,5/20/2051,"2,400,000","1,631,405"
ARTHUR J GALLAGHER + CO,5.45,7/15/2034,"1,300,000","1,289,366"
ASCENSION HEALTH,3.95,11/15/2046,"137,000","111,319"
ASCENSION HEALTH,3.11,11/15/2039,"75,000","56,768"
ASCENT RESOURCES/ARU FIN,7.00,11/1/2026,"463,000","461,008"
ASG FINANCE DESIGNATED,9.75,5/15/2029,"1,216,000","1,216,000"
ASHLAND INC,3.38,9/1/2031,"72,000","58,677"
ASTON MARTIN CAPITAL HOL,10.00,3/31/2029,"1,535,000","1,526,702"
ASTRAZENECA PLC,4.00,9/18/2042,"69,000","58,555"
AT+T INC,3.65,9/15/2059,"5,639,000","3,843,669"
AT+T INC,3.80,12/1/2057,"5,157,000","3,660,445"
AT+T INC,3.55,9/15/2055,"2,591,000","1,639,487"
AT+T INC,3.50,9/15/2053,"3,642,000","2,435,047"
AT+T INC,3.65,6/1/2051,"2,500,000","1,694,591"
AT+T INC,4.55,3/9/2049,"300,000","235,921"
AT+T INC,4.50,3/9/2048,"600,000","469,898"
AT+T INC,4.75,5/15/2046,"400,000","328,917"
AT+T INC,4.35,6/15/2045,"200,000","156,076"
AT+T INC,4.65,6/1/2044,"100,000","81,740"
AT+T INC,3.10,2/1/2043,"700,000","488,446"
AT+T INC,4.30,12/15/2042,"300,000","239,604"
AT+T INC,3.50,6/1/2041,"6,973,000","5,354,054"
AT+T INC,5.35,9/1/2040,"204,000","186,929"
AT+T INC,4.85,3/1/2039,"200,000","175,447"
AT+T INC,5.25,3/1/2037,"700,000","653,271"
AT+T INC,4.50,5/15/2035,"575,000","510,654"
AT+T INC,5.40,2/15/2034,"2,700,000","2,590,984"
AT+T INC,2.55,12/1/2033,"581,000","466,857"
ATHENE HOLDING LTD,3.95,5/25/2051,"234,000","160,741"
ATMOS ENERGY CORP,6.20,11/15/2053,"50,000","48,779"
ATMOS ENERGY CORP,3.38,9/15/2049,"55,000","38,657"
ATMOS ENERGY CORP,4.13,3/15/2049,"481,000","387,363"
ATMOS ENERGY CORP,4.13,10/15/2044,"54,000","43,721"
ATMOS ENERGY CORP,4.15,1/15/2043,"96,000","79,376"
ATMOS ENERGY CORP,5.50,6/15/2041,"22,000","21,240"
AVANTOR FUNDING INC,3.88,11/1/2029,"73,000","64,810"
AVIENT CORP,7.13,8/1/2030,"103,000","102,938"
AVIS BUDGET CAR/FINANCE,8.00,2/15/2031,"1,130,000","1,097,740"
AVISTA CORP,4.35,6/1/2048,"44,000","35,491"
AZUL SECURED FINANCE LLP,11.93,8/28/2028,"1,000,000","991,310"
BAE SYSTEMS HOLDINGS INC,4.75,10/7/2044,"398,000","358,847"
BAE SYSTEMS PLC,3.00,9/15/2050,"850,000","584,779"
BALTIMORE GAS + ELECTRIC,5.40,6/1/2053,"1,810,000","1,717,522"
BALTIMORE GAS + ELECTRIC,4.55,6/1/2052,"100,000","88,074"
BALTIMORE GAS + ELECTRIC,3.75,8/15/2047,"45,000","33,865"
BALTIMORE GAS + ELECTRIC,3.50,8/15/2046,"18,000","13,003"
