0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
NORTHLAND POWER INC,"429,657","9,736,096","7,385,211"
NOVA LTD,"50,372","5,631,740","11,820,144"
NOVA TECHNOLOGY CORP,"55,000","340,225","326,357"
NOVARTIS AG REG,"8,404,139","666,734,296","899,428,052"
NOVATEK MICROELECTRONICS COR,"2,872,826","37,049,344","53,663,750"
NOVATEK PJSC,"2,540,291","10,873",0
NOVO NORDISK A/S B,"6,432,601","331,931,832","929,642,140"
NOVOLIPETSK STEEL PJSC,"2,433,900","11,710",0
NOVONESIS (NOVOZYMES) B,"2,032,079","111,605,238","124,438,628"
NOVOROSSIYSK COMMERCIAL SEA,"11,564,400",0,0
NRW HOLDINGS LTD,"726,136","1,071,100","1,498,502"
NS SOLUTIONS CORP,"112,240","1,447,368","1,899,980"
NSD CO LTD,"111,600","1,479,015","2,140,295"
NSK LTD,"644,600","4,506,717","3,132,472"
NSL FOODS PCL FOREIGN,"103,800","81,129","85,563"
NTN CORP,"940,700","1,984,165","1,873,118"
NTPC LTD,"7,457,336","18,145,891","33,835,804"
NTT DATA GROUP CORP,"3,028,840","36,772,124","44,474,202"
NU HOLDINGS LTD/CAYMAN ISL A,"17,599,958","175,652,612","226,863,541"
NUFARM LTD,"709,501","3,212,297","2,179,703"
NUTRIEN LTD,"836,042","48,480,947","42,555,317"
NUVOTON TECHNOLOGY CORP,"237,000","1,128,670","935,101"
NVENT ELECTRIC PLC,"311,574","8,911,608","23,869,690"
NWS HOLDINGS LTD,"1,563,000","1,423,218","1,387,362"
NXERA PHARMA CO LTD,"135,400","1,397,073","1,349,288"
NXP SEMICONDUCTORS NV,"493,647","60,928,010","132,835,504"
NYFOSA AB,"296,680","2,060,781","2,877,110"
O BANK CO LTD,"3,268,000","1,054,294","1,057,723"
O TA PRECISION INDUSTRY CO,"3,000","8,605","8,276"
O.S.K. HOLDINGS BHD,"526,800","169,531","177,554"
OBAYASHI CORP,"1,223,172","10,424,351","14,538,831"
OBEROI REALTY LTD,"198,464","2,495,904","4,203,093"
OBI PHARMA INC,"238,000","571,198","446,047"
OBIC BUSINESS CONSULTANTS,"48,500","1,871,449","2,028,225"
OBIC CO LTD,"320,691","33,426,761","41,347,329"
OC OERLIKON CORP AG REG,"317,461","2,290,666","1,712,723"
OCADO GROUP PLC,"981,861","11,241,129","3,585,777"
OCEAN PLASTICS CO LTD,"20,000","24,350","22,810"
OCEANA GROUP LTD,"2,097","8,712","8,251"
OCEANIA HEALTHCARE LTD,"1,048,929","1,051,715","338,757"
OCI CO LTD,"7,956","613,127","595,328"
OCI HOLDINGS CO LTD,"25,563","2,359,583","1,643,547"
