0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
POSCO FUTURE M CO LTD,"1,081","344,093","203,007"
POSCO HOLDINGS INC,"2,640","1,167,411","696,201"
POSCO INTERNATIONAL CORP,"1,846","116,958","87,707"
POSTAL SAVINGS BANK OF CHI A,"53,200","35,748","37,121"
POSTAL SAVINGS BANK OF CHI H,"291,000","145,063","170,707"
POSTE ITALIANE SPA,"12,972","141,279","165,373"
POU CHEN,"69,000","64,407","74,442"
POWER + WATER UTILITY CO FOR,"2,867","52,433","46,387"
POWER ASSETS HOLDINGS LTD,"41,500","204,312","224,579"
POWER CONSTRUCTION CORP OF A,"42,600","30,491","32,774"
POWER CORP OF CANADA,"16,844","461,347","468,015"
POWER FINANCE CORPORATION,"52,406","260,777","304,868"
POWER GRID CORP OF INDIA LTD,"172,458","493,855","684,455"
POWSZECHNY ZAKLAD UBEZPIECZE,"21,683","212,305","277,992"
PPB GROUP BERHAD,"26,100","87,886","79,116"
PRESIDENT CHAIN STORE CORP,"22,000","185,511","185,472"
PRESS METAL ALUMINIUM HOLDIN,"131,500","139,609","160,560"
PRIO SA,"28,424","271,306","223,935"
PRO MEDICUS LTD,"1,778","142,258","170,112"
PROMOTORA Y OPERADORA DE INF,"6,940","64,654","64,240"
PROSUS NV,"39,587","1,259,346","1,411,135"
PRUDENTIAL PLC,"76,307","907,749","692,966"
PRYSMIAN SPA,"7,127","288,687","441,650"
PSP SWISS PROPERTY AG REG,"8,157","987,329","1,046,630"
PUBLIC BANK BERHAD,"509,900","464,788","434,509"
PUBLIC POWER CORP,"6,936","73,531","83,554"
PUBLICIS GROUPE,"6,497","518,464","691,999"
PUMA SE,"2,991","196,338","137,424"
PUNJAB NATIONAL BANK,"86,931","128,099","128,498"
QANTAS AIRWAYS LTD,"21,893","80,203","85,534"
QATAR ELECTRICITY + WATER CO,"15,389","74,831","66,146"
QATAR GAS TRANSPORT(NAKILAT),"86,462","85,410","111,182"
QATAR INTERNATIONAL ISLAMIC,"34,411","92,456","94,510"
QATAR ISLAMIC BANK,"60,570","314,771","309,421"
QATAR NATIONAL BANK,"167,377","695,796","671,623"
QBE INSURANCE GROUP LTD,"42,356","411,402","491,919"
QIAGEN N.V.,"5,501","244,948","227,279"
QL RESOURCES BHD,"38,200","44,734","52,796"
QUANTA COMPUTER INC,"98,000","756,187","942,496"
QUEBECOR INC   CL B,"4,538","101,203","95,745"
RAIA DROGASIL SA,"44,771","247,362","206,991"
RAKUTEN GROUP INC,"42,400","174,038","218,748"
