0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
HONEYWELL AUTOMATION INDIA,"3,351","2,026,324","2,279,026"
HONG KONG + CHINA GAS,"52,428,527","79,490,143","39,888,655"
HONG KONG EXCHANGES + CLEAR,"3,068,375","125,999,567","98,330,741"
HONG LEONG BANK BERHAD,"961,693","3,953,229","3,914,158"
HONG LEONG FINANCIAL GROUP,"327,463","1,278,865","1,199,503"
HONG LEONG INDUSTRIES BHD,"3,700","9,011","8,722"
HONG PU REAL ESTATE DEVELOP,"14,000","16,551","14,457"
HONGKONG LAND HOLDINGS LTD,"5,893,010","34,734,796","19,034,422"
HONGLI CLEAN ENERGY TECHNOLO,"5,780",0,0
HOPSON DEVELOPMENT HOLDINGS,"2,018,305","1,191,447","925,491"
HORIBA LTD,"79,000","4,831,336","6,374,745"
HORIZON CONSTRUCTION DEVELOP,"745,795","180,437","143,286"
HOSHINE SILICON INDUSTRY C A,"24,400","235,925","156,111"
HOSHIZAKI CORP,"615,072","23,190,526","19,508,252"
HOSIDEN CORP,"87,000","981,826","1,163,898"
HOSKEN CONS INVESTMENTS LTD,"10,574","101,698","101,588"
HOTA INDUSTRIAL MFG CO LTD,"336,243","961,193","573,163"
HOTAI FINANCE CO LTD,"269,000","780,578","932,842"
HOTAI MOTOR COMPANY LTD,"416,480","6,796,057","7,984,816"
HOTEL SHILLA CO LTD,"41,034","3,074,498","1,597,790"
HOTRON PRECISION ELECTRONIC,"48,000","48,952","49,196"
HOUSE FOODS GROUP INC,"119,700","2,716,404","2,117,794"
HOUSING + URBAN DEV CORP LTD,"743,245","1,889,703","2,506,384"
HOWDEN JOINERY GROUP PLC,"981,098","8,319,442","10,895,627"
HOYA CORP,"1,231,998","93,610,715","143,258,253"
HOYUAN GREEN ENERGY CO LTD A,"23,974","138,390","56,119"
HPSP CO LTD,"170,937","5,100,928","4,861,740"
HSBC HOLDINGS PLC,"35,276,272","308,726,172","304,982,100"
HSIN KUANG STEEL CO LTD,"457,000","905,269","901,569"
HSING TA CEMENT CO LTD,"51,000","30,827","30,970"
HTC CORP,"966,781","1,871,956","1,375,305"
HUA HAN HEALTH,"6,649,605",0,1
HUA HONG SEMICONDUCTOR LTD,"833,000","2,692,803","2,352,599"
HUA NAN FINANCIAL HOLDINGS C,"48,045,071","27,123,091","39,097,757"
HUADIAN POWER INTL CORP A,"851,200","792,367","809,129"
HUADIAN POWER INTL CORP H,"3,446,000","1,688,452","2,087,711"
HUADONG MEDICINE CO LTD A,"67,089","330,207","255,552"
HUAFON CHEMICAL CO LTD  A,"135,300","144,749","132,877"
HUAGONG TECH CO LTD A,"47,600","202,961","195,138"
HUAIBEI MINING HOLDINGS CO A,"7,715,908","19,332,330","17,691,681"
HUAKU DEVELOPMENT CO LTD,"405,800","1,191,996","1,707,459"
HUALAN BIOLOGICAL ENGINEER A,"70,716","196,252","152,944"
