0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
LUMENTUM HOLDINGS INC,"88,526","6,163,505","4,507,745"
LYFT INC A,"645,793","17,609,287","9,105,766"
LYONDELLBASELL INDU CL A,"491,921","40,627,289","47,057,182"
M + T BANK CORP,"372,688","51,373,177","56,410,062"
MACOM TECHNOLOGY SOLUTIONS H,"68,140","6,609,287","7,595,566"
MACY S INC,"531,332","10,056,607","10,201,617"
MADISON SQUARE GARDEN SPORTS,"80,839","13,006,174","15,208,244"
MADRIGAL PHARMACEUTICALS INC,"22,262","5,307,828","6,236,922"
MAGNOLIA OIL + GAS CORP   A,"287,363","6,397,925","7,281,793"
MANHATTAN ASSOCIATES INC,"321,596","49,963,336","79,331,301"
MANPOWERGROUP INC,"90,131","6,491,300","6,291,154"
MARATHON DIGITAL HOLDINGS IN,"480,372","9,454,637","9,535,384"
MARATHON OIL CORP,"1,475,052","29,674,842","42,289,741"
MARATHON PETROLEUM CORP,"700,929","44,484,353","121,597,163"
MARKEL GROUP INC,"74,421","77,569,756","117,262,193"
MARKETAXESS HOLDINGS INC,"53,598","12,257,364","10,748,015"
MARRIOTT INTERNATIONAL  CL A,"412,830","45,946,998","99,809,910"
MARRIOTT VACATIONS WORLD,"67,884","6,397,059","5,927,636"
MARSH + MCLENNAN COS,"2,384,433","227,560,959","502,447,722"
MARTIN MARIETTA MATERIALS,"109,471","24,697,996","59,311,388"
MARVELL TECHNOLOGY INC,"1,139,886","39,363,526","79,678,098"
MASCO CORP,"450,176","19,789,057","30,013,406"
MASIMO CORP,"74,713","9,542,036","9,409,359"
MASTEC INC,"106,030","6,701,902","11,344,152"
MASTERCARD INC   A,"2,400,068","697,230,036","1,058,814,112"
MATADOR RESOURCES CO,"195,149","10,335,372","11,630,887"
MATCH GROUP INC,"465,425","33,273,378","14,139,632"
MATSON INC,"72,113","6,831,725","9,444,640"
MATTEL INC,"611,512","10,490,385","9,943,187"
MAXIMUS INC,"120,152","7,664,180","10,297,030"
MCDONALD S CORP,"3,545,178","669,462,981","903,453,162"
MCKESSON CORP,"639,158","194,217,713","373,293,850"
MDU RESOURCES GROUP INC,"333,051","6,028,362","8,359,611"
MEDPACE HOLDINGS INC,"49,974","6,073,724","20,581,795"
MERCK + CO. INC.,"10,043,527","772,843,058","1,243,388,643"
MERIT MEDICAL SYSTEMS INC,"92,018","6,587,986","7,908,947"
MERITAGE HOMES CORP,"83,115","8,976,511","13,452,183"
META PLATFORMS INC CLASS A,"5,853,067","1,268,677,556","2,951,233,666"
METLIFE INC,"1,136,786","56,337,297","79,791,122"
METTLER TOLEDO INTERNATIONAL,"40,011","25,263,368","55,918,974"
MGIC INVESTMENT CORP,"612,140","7,921,125","13,191,657"
MGM RESORTS INTERNATIONAL,"434,755","13,311,640","19,320,531"
