0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
JP MORGAN MORTGAGE TRUST,1.00,8/25/2052,"840,741","722,392"
JP MORGAN MORTGAGE TRUST,1.00,4/25/2052,"3,870,501","3,103,994"
JPMBB COMMERCIAL MORTGAGE SECU,3.58,3/17/2049,"127,000","120,055"
JPMBB COMMERCIAL MORTGAGE SECU,3.77,12/15/2048,"49,000","46,596"
JPMBB COMMERCIAL MORTGAGE SECU,3.54,8/15/2048,"15,726","15,326"
JPMBB COMMERCIAL MORTGAGE SECU,3.80,8/15/2048,0,0
JPMBB COMMERCIAL MORTGAGE SECU,3.82,7/15/2048,"51,000","48,268"
JPMBB COMMERCIAL MORTGAGE SECU,3.49,1/15/2048,"265,000","255,908"
JPMBB COMMERCIAL MORTGAGE SECU,3.80,9/15/2047,"62,734","61,011"
JPMDB COMMERCIAL MORTGAGE SECU,3.41,10/15/2050,"63,000","57,479"
JPMDB COMMERCIAL MORTGAGE SECU,3.14,12/15/2049,"38,000","34,949"
KSL COMMERCIAL MORTGAGE TRUST,1.00,12/15/2036,"640,000","638,465"
LBA TRUST,1.00,6/15/2026,"1,740,000","1,735,764"
MCR MORTGAGE TRUST,8.73,6/12/2039,"600,000","599,997"
MED TRUST,1.00,11/15/2038,"1,277,867","1,244,698"
MORGAN STANLEY BAML TRUST,3.72,12/15/2049,"347,000","323,783"
MORGAN STANLEY BAML TRUST,3.10,11/15/2049,"305,000","278,010"
MORGAN STANLEY BAML TRUST,3.06,5/15/2049,"85,104","79,789"
MORGAN STANLEY BAML TRUST,3.14,5/15/2049,"115,022","110,832"
MORGAN STANLEY BAML TRUST,3.31,4/15/2048,"127,000","121,079"
MORGAN STANLEY BAML TRUST,3.75,12/15/2047,"223,000","212,055"
MORGAN STANLEY CAPITAL I TRUST,2.73,5/15/2054,"312,000","255,995"
MORGAN STANLEY CAPITAL I TRUST,2.04,7/15/2053,"119,000","95,149"
MORGAN STANLEY CAPITAL I TRUST,3.26,7/15/2052,"381,000","334,325"
MORGAN STANLEY CAPITAL I TRUST,3.70,6/15/2052,"1,500,000","1,301,657"
MORGAN STANLEY CAPITAL I TRUST,4.07,3/15/2052,"347,000","320,436"
MORGAN STANLEY CAPITAL I TRUST,4.14,10/15/2051,"179,000","166,470"
MORGAN STANLEY CAPITAL I TRUST,1.00,7/15/2051,"2,780,000","2,517,185"
MORGAN STANLEY CAPITAL I TRUST,3.59,12/15/2050,"51,000","46,877"
MORGAN STANLEY CAPITAL I TRUST,3.60,12/15/2049,"127,000","117,920"
MORGAN STANLEY CAPITAL I TRUST,2.61,8/15/2049,"12,546","11,983"
MORGAN STANLEY RESIDENTIAL MOR,1.00,12/25/2068,"1,118,294","1,118,293"
OCEANVIEW MORTGAGE TRUST,1.00,11/25/2052,"1,751,641","1,562,905"
ONE NEW YORK PLAZA TRUST 2020,1.00,1/15/2036,"1,000,000","976,237"
ONSLOW BAY FINANCIAL LLC,1.00,1/25/2062,"3,254,987","2,853,729"
ONSLOW BAY FINANCIAL LLC,1.00,10/25/2051,"3,320,141","2,604,812"
OPEN TRUST,1.00,10/15/2028,"306,973","306,302"
ORL TRUST,1.00,10/19/2036,"1,273,507","1,267,474"
PRKCM TRUST,1.00,3/25/2059,"4,361,735","4,361,479"
PRKCM TRUST,1.00,8/25/2056,"1,022,200","787,492"
"PRP ADVISORS, LLC",1.00,1/25/2054,"323,144","309,813"
SEQUOIA MORTGAGE TRUST,1.00,1/25/2052,"2,014,700","1,732,442"
TAUBMAN CENTERS COMMERCIAL MOR,1.00,5/15/2037,"2,800,000","2,762,684"
THE 2023 MIC TRUST,1.00,12/5/2038,"1,250,000","1,346,455"
TTAN,1.00,3/15/2038,"2,160,414","2,120,665"
UBS COMMERCIAL MORTGAGE TRUST,3.46,4/15/2052,"2,488,161","2,380,289"
UBS COMMERCIAL MORTGAGE TRUST,3.72,2/15/2051,"40,809","37,304"
UBS COMMERCIAL MORTGAGE TRUST,3.98,2/15/2051,"76,000","69,943"
UBS COMMERCIAL MORTGAGE TRUST,3.68,12/15/2050,"286,000","261,183"
