0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
EDISON INTERNATIONAL,"1,909,174","123,798,678","137,097,785"
EDWARDS LIFESCIENCES CORP,"1,069,699","68,543,627","98,808,205"
ELANCO ANIMAL HEALTH INC,"865,075","15,275,771","12,483,072"
ELASTIC NV,"137,817","12,967,999","15,698,741"
ELECTRONIC ARTS INC,"1,314,491","150,997,471","183,148,031"
ELEMENT SOLUTIONS INC,"652,674","10,980,209","17,700,676"
ELEVANCE HEALTH INC,"724,688","260,927,419","392,679,440"
ELF BEAUTY INC,"95,772","12,120,839","20,181,077"
ELI LILLY + CO,"2,067,372","536,854,887","1,871,757,292"
EMCOR GROUP INC,"99,455","10,516,757","36,309,045"
EMERSON ELECTRIC CO,"990,531","65,700,318","109,116,967"
ENCOMPASS HEALTH CORP,"503,579","30,624,292","43,202,042"
ENDEAVOUR INTERNATIONAL CORP,"72,400",0,0
ENER1 INC,3,0,0
ENERSYS,"82,143","4,975,173","8,503,447"
ENOVIS CORP,"65,716","4,100,516","2,970,364"
ENPHASE ENERGY INC,"217,812","22,391,222","21,718,066"
ENSIGN GROUP INC/THE,"268,632","21,672,761","33,227,092"
ENTEGRIS INC,"256,684","17,615,023","34,755,029"
ENTERGY CORP,"1,021,106","95,420,643","109,258,342"
ENVESTNET INC,"73,853","4,923,551","4,622,464"
ENVISTA HOLDINGS CORP,"274,728","6,835,473","4,568,737"
EOG RESOURCES INC,"1,059,900","86,215,870","133,409,613"
EPAM SYSTEMS INC,"94,943","19,091,934","17,859,734"
EQT CORP,"582,567","16,458,287","21,543,509"
EQUIFAX INC,"209,129","28,294,150","50,705,432"
EQUITABLE HOLDINGS INC,"633,049","16,733,274","25,866,456"
EQUITRANS MIDSTREAM CORP,"751,251","6,370,718","9,751,256"
ESAB CORP,"115,790","6,255,481","10,934,051"
ESC ACETO CHEM INC COM,"71,900",0,0
ESC GCI LIBERTY INC SR,"273,265",0,0
ESC NII HLDGS INC BE,"21,400",0,0
ESC RENTECH NITROGEN PARTN,"46,300",0,0
ESCROW AMBASSADORS GROUP INC,"34,400",0,0
ESCROW CHROMCRAFT REVINGTON,"13,900",0,0
ESCROW DESIGN WITHIN REACH,"16,361",0,0
ESSENT GROUP LTD,"228,738","9,524,856","12,852,819"
ESSENTIAL UTILITIES INC,"1,143,652","42,583,595","42,692,529"
ESTEE LAUDER COMPANIES CL A,"413,199","62,149,695","43,964,418"
ETSY INC,"213,066","15,501,588","12,566,682"
EURONET WORLDWIDE INC,"94,394","9,123,574","9,769,782"
EVERCORE INC   A,"76,247","6,759,540","15,892,168"
