0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
YEAHKA LTD,"243,600","1,163,089","312,015"
YEALINK NETWORK TECHNOLOGY A,"48,182","265,584","242,668"
YES BANK LTD,"30,919,468","9,459,114","8,784,097"
YFC BONEAGLE ELECTRIC CO LTD,"6,000","4,316","4,411"
YFY INC,"2,241,000","1,430,458","2,124,154"
YG ENTERTAINMENT INC,"19,646","716,800","575,180"
YICHANG HEC CHANGJIANG PHA H,"682,600","1,072,073","821,842"
YIDU TECH INC,"772,000","1,597,674","377,724"
YIEH PHUI ENTERPRISE CO LTD,"1,970,050","925,561","935,214"
YIFAN PHARMACEUTICAL CO LT A,"173,852","283,222","294,323"
YIFENG PHARMACY CHAIN CO L A,"58,457","276,366","196,572"
YIHAI INTERNATIONAL HOLDING,"687,000","3,237,644","1,152,693"
YIHAI KERRY ARAWANA HOLDIN A,"62,000","296,315","232,263"
YINSON HOLDINGS BHD,"3,242,720","1,730,384","1,602,221"
YINTAI GOLD CO LTD A,"176,745","376,031","394,369"
YODOGAWA STEEL WORKS LTD,"44,800","1,095,464","1,565,205"
YOKOGAWA BRIDGE HOLDINGS COR,"57,100","812,430","961,252"
YOKOGAWA ELECTRIC CORP,"459,471","8,100,945","11,111,194"
YOKOHAMA RUBBER CO LTD,"247,300","4,519,859","5,468,396"
YONFER AGRICULTURAL TECHNO A,"77,058","126,507","125,286"
YONGXING SPECIAL MATERIALS A,"19,760","164,696","96,844"
YONYOU NETWORK TECHNOLOGY A,"443,473","753,309","607,427"
YOSHINOYA HOLDINGS CO LTD,"121,800","2,083,393","2,320,763"
YOUDAO INC   ADR,"46,443","623,400","182,061"
YOUNG OPTICS INC,"6,000","11,228","11,800"
YOUNGONE CORP,"82,562","2,310,449","2,090,298"
YOUNGOR FASHION CO LTD A,"385,600","401,038","376,049"
YOUNGTEK ELECTRONICS CORP,"112,000","252,447","273,773"
YOUNGY CO LTD A,"16,900","108,542","69,491"
YTL CORP BHD,"13,071,467","6,400,173","9,559,958"
YTL POWER INTERNATIONAL BHD,"7,988,000","7,146,421","8,161,630"
YTO EXPRESS GROUP CO LTD A,"119,765","290,377","256,728"
YUAN LONGPING HIGH TECH AG A,"43,076","77,001","57,999"
YUANTA FINANCIAL HOLDING CO,"60,582,626","34,767,479","59,851,522"
YUE YUEN INDUSTRIAL HLDG,"1,273,544","3,138,439","2,463,118"
YUEXIU PROPERTY CO LTD,"2,720,536","2,501,998","1,777,210"
YUEXIU TRANSPORT INFRASTRUCT,"2,086,000","1,212,937","1,084,774"
YUHAN CORP,"103,887","3,917,734","6,105,720"
YULON FINANCE CORP,"302,741","870,191","1,395,154"
YULON MOTOR COMPANY,"616,433","861,205","1,269,292"
YUM CHINA HOLDINGS INC,"792,801","34,913,678","24,504,231"
YUNDA HOLDING CO LTD A,"52,800","83,950","55,976"
