0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
DIGITAL CHINA HOLDINGS LTD,"1,955,750","1,146,616","836,681"
DIGITAL GARAGE INC,"59,000","1,406,127","905,946"
DIGITAL TELECOMMUNICATIONS F,"8,170,275","3,333,345","1,714,325"
DINGDONG CAYMAN LTD  SPN ADR,"186,035","638,369","370,212"
DINGZING ADVANCED MATERIALS,"44,000","259,560","269,223"
DIP CORP,"52,200","943,089","887,850"
DIPLOMA PLC,"241,821","6,886,757","12,681,844"
DIRECT LINE INSURANCE GROUP,"2,161,460","5,050,180","5,486,542"
DIS CHEM PHARMACIES PTY LTD,"667,384","962,046","1,230,296"
DISCO CORP,"248,100","55,614,682","94,144,228"
DISCOVERY LTD,"2,521,716","26,926,861","18,600,785"
DIVI S LABORATORIES LTD,"188,695","7,325,082","10,401,269"
DIXON TECHNOLOGIES INDIA LTD,"53,349","3,886,804","7,659,105"
DKSH HOLDING AG,"62,553","4,254,827","4,225,522"
DL E+C CO LTD,"97,565","3,232,980","2,296,484"
DL HOLDINGS CO LTD,"20,984","985,493","900,953"
DLF LTD,"939,187","4,891,938","9,289,489"
DMG MORI CO LTD,"209,200","3,783,670","5,432,250"
DNB BANK ASA,"1,875,923","29,936,533","36,946,104"
DO FLUORIDE NEW MATERIALS  A,"56,740","150,209","95,048"
DOHA BANK QPSC,"4,179,397","1,792,123","1,639,159"
DOHOME PCL FOREIGN,"1,707,483","816,271","479,244"
DOLLARAMA INC,"1,378,306","82,474,625","125,818,835"
DOMAIN HOLDINGS AUSTRALIA LT,"425,101","1,013,574","865,909"
DOMETIC GROUP AB,"532,928","4,282,356","3,386,725"
DOMINO S PIZZA ENTERPRISES L,"103,225","3,746,488","2,474,233"
DOMINO S PIZZA GROUP PLC,"758,038","2,801,243","2,940,335"
DONG E E JIAOCO LTD A,"43,818","342,015","375,711"
DONGFANG ELECTRIC CORP LTD A,"754,791","1,898,689","1,907,445"
DONGFANG ELECTRIC CORP LTD H,"932,617","1,160,000","1,486,021"
DONGFENG MOTOR GRP CO LTD H,"9,990,000","5,465,681","2,853,408"
DONGGUAN YIHEDA AUTOMATION A,"22,580","98,937","60,804"
DONGJIN SEMICHEM CO LTD,"53,938","1,255,160","1,569,372"
DONGKOOK PHARMACEUTICAL CO L,"42,609","516,328","576,997"
DONGKUK STEEL MILL CO LTD/NE,"18,744","156,146","133,040"
DONGSUH COMPANIES INC,"53,743","1,079,357","749,633"
DONGXING SECURITIES CO LT A,"155,987","186,081","170,073"
DONGYUE GROUP,"4,134,000","4,222,356","4,495,453"
DOOSAN BOBCAT INC,"98,288","3,767,791","3,663,046"
DOOSAN ENERBILITY CO LTD,"722,693","9,638,507","10,552,928"
DORMAKABA HOLDING AG,"6,050","2,870,749","3,103,774"
DOUBLEUGAMES CO LTD,"18,735","627,635","627,450"
