0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
HINDUSTAN COPPER LTD,"373,157","1,365,737","1,426,177"
HINDUSTAN PETROLEUM CORP,"1,545,010","4,929,480","6,153,958"
HINDUSTAN UNILEVER LTD,"1,359,085","36,901,584","40,308,650"
HINDUSTAN ZINC LTD,"351,449","1,648,999","2,822,387"
HINO MOTORS LTD,"454,200","2,742,569","1,180,264"
HIOKI E E CORP,"15,100","1,121,368","637,382"
HIRATA CORP,"15,400","1,050,800","637,602"
HIROGIN HOLDINGS INC,"528,500","3,592,542","4,083,838"
HIROSE ELECTRIC CO LTD,"148,086","16,910,934","16,358,872"
HISAMITSU PHARMACEUTICAL CO,"114,880","4,227,221","2,654,549"
HISCOX LTD,"571,844","9,261,284","8,313,041"
HISENSE HOME APPLIANCES GR H,"1,108,000","3,660,097","3,647,294"
HITACHI CONSTRUCTION MACHINE,"178,500","4,511,526","4,780,425"
HITACHI ENERGY INDIA LTD,"15,818","1,163,433","2,449,196"
HITACHI LTD,"8,151,865","84,918,857","182,487,813"
HITACHI ZOSEN CORP,"297,488","1,769,876","1,945,545"
HITE JINRO CO LTD,"46,317","1,084,673","715,032"
HITHINK ROYALFLUSH INFORMA A,"22,232","388,259","315,784"
HIWIN TECHNOLOGIES CORP,"431,760","3,764,256","2,834,791"
HIYES INTERNATIONAL CO LTD,"214,000","1,295,807","1,527,087"
HKBN LTD,"1,340,000","1,395,652","422,232"
HL MANDO CO LTD,"55,209","1,896,956","1,760,766"
HLB INC,"198,005","6,608,178","8,415,057"
HLB LIFE SCIENCE CO LTD,"162,423","1,303,782","969,938"
HMM CO LTD,"473,913","9,898,257","6,758,398"
HO TUNG CHEMICAL CORP,"942,000","280,731","289,207"
HOCHTIEF AG,"42,034","3,891,629","4,784,324"
HOGY MEDICAL CO LTD,"29,900","798,333","733,282"
HOKKAIDO ELECTRIC POWER CO,"337,200","1,723,937","2,502,909"
HOKKOKU FINANCIAL HOLDINGS I,"33,800","1,016,863","1,109,437"
HOKUETSU CORP,"204,600","1,094,816","1,345,692"
HOKUHOKU FINANCIAL GROUP INC,"224,900","2,338,362","2,889,198"
HOKURIKU ELECTRIC POWER CO,"326,300","1,816,239","2,066,002"
HOLCIM LTD,"1,129,053","76,855,959","100,039,500"
HOLLYSYS AUTOMATION TECHNOLO,"98,018","1,846,822","2,121,117"
HOLMEN AB B SHARES,"146,279","5,795,134","5,762,802"
HOLTEK SEMICONDUCTOR INC,"220,000","732,259","406,900"
HOLY STONE ENTERPRISE CO LTD,"217,300","701,657","628,949"
HOME PRODUCT CENTER PCL FOR,"9,219,926","3,942,856","2,323,982"
HOME PRODUCT CENTER PCL NVDR,"460,100","125,254","115,979"
HON HAI PRECISION INDUSTRY,"71,400,522","261,565,794","470,992,763"
HONDA MOTOR CO LTD,"11,732,610","112,443,107","125,451,457"
