0,1,2
"Diversity, Equity, and Inclusion",,
In FY 2023-24:,,
,•,"Since the last PE Annual Program Review, CalPERS co-"
,,
$4.15bn,,hosted Catalyst: California’s Diverse Investment Manager
,,"Forum, bringing together institutional investors and other"
Allocated to Diverse,,
,,global allocators to engage with diverse investor
Managers,,
,,entrepreneurs and general partners to forge a new path
,,in leadership and growth
$1.45bn,,
,•,"CalPERS Project Mosaic, a $1bn partnership with TPG"
Allocated to Emerging,,
,,"Next and GCM Grosvenor, made its first investments"
Managers,,
