0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
MARICO LTD,"21,726","140,336","159,713"
MARUBENI CORP,"40,500","682,909","749,147"
MARUTI SUZUKI INDIA LTD,"5,118","645,536","738,591"
MASRAF AL RAYAN,"227,063","134,913","145,492"
MATSUKIYOCOCOKARA + CO,"9,500","173,687","136,423"
MAX HEALTHCARE INSTITUTE LTD,"27,429","227,826","309,412"
MAXIS BHD,"86,400","75,050","64,651"
MAXSCEND MICROELECTRONICS  A,"1,100","19,120","11,769"
MAZDA MOTOR CORP,"16,200","176,870","156,703"
MBANK SA,505,"50,843","80,020"
MCDONALD S HOLDINGS CO JAPAN,"2,800","110,864","110,357"
MEDIATEK INC,"55,000","1,273,687","2,373,503"
MEDIBANK PRIVATE LTD,"69,467","160,804","173,048"
MEDIOBANCA SPA,"15,569","207,365","228,432"
MEDTRONIC PLC,"16,324","1,309,802","1,284,862"
MEG ENERGY CORP,"8,228","162,678","176,003"
MEGA FINANCIAL HOLDING CO LT,"431,351","488,629","537,169"
MEIHUA HOLDINGS GROUP CO  A,"8,600","10,663","11,860"
MEIJI HOLDINGS CO LTD,"8,300","201,390","178,992"
MEITUAN CLASS B,"182,200","2,946,261","2,592,722"
MELISRON,"4,814","299,475","318,446"
MELROSE INDUSTRIES PLC,"37,744","239,487","264,039"
MERCADOLIBRE INC,512,"735,266","841,421"
MERCEDES BENZ GROUP AG,"22,627","1,629,672","1,565,855"
MERCK KGAA,"3,647","655,108","604,867"
MERCURY NZ LTD,"16,446","61,588","65,790"
MERDEKA COPPER GOLD TBK PT,"302,100","68,079","43,908"
MERIDIAN ENERGY LTD,"33,462","105,014","128,254"
MERITZ FINANCIAL GROUP INC,"3,625","146,969","208,309"
MESAIEED PETROCHEMICAL HOLDI,"199,112","100,103","90,013"
METALLURGICAL CORP OF CHIN A,"53,500","27,090","22,825"
METLEN ENERGY + METALS SA,"3,693","142,288","137,975"
METRO INC/CN,"7,379","386,578","408,707"
METROPOLITAN BANK + TRUST,"85,720","82,379","98,797"
METSO CORP,"17,558","204,051","185,995"
MICHELIN (CGDE),"19,468","631,853","753,429"
MICRO STAR INTERNATIONAL CO,"26,000","134,479","142,657"
MIDEA GROUP CO LTD A,"6,300","55,201","55,924"
MINEBEA MITSUMI INC,"9,600","166,029","196,643"
MINERAL RESOURCES LTD,"4,601","213,540","165,684"
MINISO GROUP HOLDING LTD,"13,148","87,467","63,067"
MIRAE ASSET SECURITIES CO LT,"7,006","35,384","37,257"
