0,1,2
Security Name,Book Value,Market Value
Bridgepoint Europe IV 'B' L.P.,"30,172,529","16,713,519"
"Bridgepoint Europe IV 'D', L.P.","73,917,212","63,432,526"
"Butterfly II, L.P.","54,859,548","61,938,738"
BVP Forge Institutional L.P.,"17,810,745","17,870,661"
CA Co-Investment Limited Partnership,"599,810,000","688,844,597"
"CA1 SPV, L.P.","98,184,367","102,292,990"
"California Asia Investors, L.P.","28,197,993","13,416,370"
"California Community Venture Fund, LLC","20,148,723","3,774,783"
"California Emerging Ventures IV, LLC","193,025,283","59,532,950"
"California Partners, L.P.","465,133,113","578,799,324"
"CalPERS Clean Energy & Technology Fund, LLC","363,762,600","6,066,833"
"CalPERS Corporate Partners, LLC","177,679,240",178
"CalPERS Wellspring V, L.P.","14,476,034","8,746,676"
Canaan Gold Coast L.P.,"44,500,000","44,210,750"
"Capital Link Fund I, LLC","165,983,010","47,546,506"
"Capital Link Fund II, LLC","110,394,690","14,873,369"
"Capital Link Management, LLC",0,"35,576"
CapVest Equity Partners V SCSp,"57,691,197","47,536,556"
"Carlyle Asia Partners V, L.P.","105,682,010","110,908,619"
"Carlyle Europe Partners II, L.P.",0,"160,748"
"Carlyle Europe Partners III, L.P.","37,307,327","2,789,287"
"Carlyle Europe Partners V, S.C.Sp.","119,468,568","144,205,618"
"Carlyle Havasu Coinvestment, L.P.","72,453,848","72,275,829"
"Carlyle Partners VI, L.P.","92,413,716","85,625,908"
"Carlyle Partners VII, L.P.","292,357,950","360,391,399"
"Carlyle Partners VIII, L.P.","184,641,310","194,239,202"
"Carlyle Strategic Partners IV, L.P.","133,131,008","122,056,178"
"Carlyle U.S. Equity Opportunities II, L.P.","150,237,370","140,984,861"
"CD&R Value Building Partners I, L.P.","244,322,300","299,654,460"
"CDH Fund V, L.P.","55,082,636","64,427,664"
"Cedar Street Partners, L.P.","239,600,652","335,296,673"
"Centerbridge Capital Partners III, L.P.","121,256,747","141,369,535"
"Cerberus CAL II Partners, L.P.",0,"290,574,619"
"Cerberus CAL III Partners, L.P.","468,812,913","367,276,006"
"Cerberus Cloud Partners, L.P.","36,262,193","59,124,780"
"Cerberus CP Partners, L.P.",0,"499,614,127"
"Cerberus Institutional Partners V, L.P.",0,"168,065,035"
"Cerberus Supply Chain Fund, L.P.","31,435,779","26,737,408"
"Clayton, Dubilier & Rice Fund X, L.P.","98,531,719","157,461,250"
"Clayton, Dubilier & Rice Fund XI, L.P.","419,272,687","460,755,637"
"Clayton, Dubilier & Rice Fund XII, L.P.","103,750,843","101,200,959"
"Clearlake Capital Partners III, L.P.","22,069,933","2,413,435"
