0,1,2,3
,International Real Estate Investment Trusts (REITs),,
Security Name,Shares,Book Value,Market Value
DAIWA SECURITIES LIVING INVE,"3,156","2,435,117","2,060,067"
DERWENT LONDON PLC,"186,035","4,569,222","5,315,060"
DEXUS/AU,"1,748,946","11,221,806","7,568,859"
DIGITAL CORE REIT MANAGEMENT,"1,349,300","971,943","769,102"
EMBASSY OFFICE PARKS REIT,"1,803,601","8,033,312","7,685,271"
EQUITES PROPERTY FUND LTD,"1,205,624","1,257,753","844,479"
ESR KENDALL SQUARE REIT CO L,"193,592","750,224","649,058"
ESR LOGOS REIT,"9,256,603","2,865,319","1,844,152"
FAIRVEST LTD B,"26,179","5,821","5,520"
FIBRA MACQUARIE MEXICO,"1,421,380","2,164,031","2,412,093"
FIBRA MTY SAPI DE CV,"519,896","307,888","277,782"
FORTUNE REIT,"2,485,000","2,045,934","1,196,773"
FRASERS CENTREPOINT TRUST,"5,349,442","8,601,809","8,407,535"
FRASERS LOGISTICS + COMMERCI,"10,578,300","10,192,800","7,415,152"
FRASERS PROPERTY THA FOREIGN,"24,900","6,505","5,734"
FRONTIER REAL ESTATE INVEST,786,"2,740,580","2,147,512"
FUKUOKA REIT CORP,"1,319","1,752,979","1,292,276"
GECINA SA,"98,838","12,467,547","9,107,063"
GLOBAL ONE REIT,"1,974","1,751,794","1,250,475"
GLP J REIT,"22,704","27,222,105","18,531,861"
GOODMAN GROUP,"3,213,079","38,495,434","74,569,071"
GOODMAN PROPERTY TRUST,"1,958,893","2,252,112","2,399,239"
GPT GROUP,"3,268,426","10,353,663","8,731,279"
GRANITE REAL ESTATE INVESTME,"111,800","5,338,449","5,538,731"
GREAT PORTLAND ESTATES PLC,"580,632","3,178,095","2,462,531"
GROWTHPOINT PROPERTIES AUSTR,"444,998","1,070,068","644,908"
GROWTHPOINT PROPERTIES LTD,"5,214,509","5,890,331","3,478,293"
HAMMERSON PLC,"7,772,211","3,124,365","2,721,491"
HANKYU HANSHIN REIT INC,"1,189","1,335,072","974,947"
HEIWA REAL ESTATE REIT INC,"1,855","2,123,342","1,524,510"
HMC CAPITAL LTD,"452,055","2,044,133","2,176,736"
HOMECO DAILY NEEDS REIT,"2,868,884","2,457,433","2,222,544"
HOSHINO RESORTS REIT INC,491,"2,354,813","1,590,277"
HULIC REIT INC,"2,155","2,815,548","1,955,936"
HYPROP INVESTMENTS LTD,"624,981","956,163","1,074,721"
ICADE,"58,665","2,018,168","1,442,456"
ICHIGO OFFICE REIT INVESTMEN,"2,251","1,525,406","1,155,871"
INDUSTRIAL + INFRASTRUCTURE,"12,463","15,399,349","9,808,627"
INGENIA COMMUNITIES GROUP,"753,050","2,360,519","2,403,982"
INMOBILIARIA COLONIAL SOCIMI,"593,478","3,612,431","3,454,480"
INVINCIBLE INVESTMENT CORP,"32,688","13,291,374","13,249,146"
JADWA REIT SAUDI FUND,"10,080","32,966","30,684"
