0,1,2
Security Name,Book Value,Market Value
"GCM Grosvenor DEM III, L.P.","440,198,520","647,347,580"
"GCM Grosvenor DEM, L.P.","53,778,534","41,599,793"
"GCM Grosvenor Elevate Fund, L.P.","26,426,444","19,559,665"
General Atlantic Managed Account,"761,176,164","864,168,782"
"General Catalyst Group XI - Health Assurance, L.P.","129,682,379","136,233,285"
"General Catalyst Group XII - Creation, L.P.","58,887,283","57,244,975"
"General Catalyst Group XII - Ignition, L.P.","24,536,275","22,437,909"
"Genstar Capital Partners X, L.P.","94,356,504","97,916,292"
"Genstar Capital Partners XI, L.P.","1,263,898","1,402,293"
"Genstar X Opportunities Fund I, L.P.","131,934,037","143,757,042"
"Genstar XI Opportunities Fund I, L.P.","45,988,313","48,923,563"
GIM LTE Hazel L.P.,"203,850,000","203,850,000"
"Gold Hills Partners, L.P.","42,788,764","43,145,879"
GPE IX Forescout Co-Investment Limited Partnership,"82,061,582","130,489,486"
GPE IX TKE Co-Investment Limited Partnership,"37,843,069","60,317,557"
"Grain Communications Opportunity Fund IV-A, L.P.","77,997,607","74,894,550"
"Grandval II, L.P.","722,140,158","1,158,242,766"
"Grandval, L.P.","49,754,644","102,204,348"
GranTain Co-Invest L.P.,"124,371,957","130,973,621"
"GreatPoint Opportunity Fund I, L.P.","35,233,416","34,939,569"
"Green Equity Investors CF II, L.P.","60,708,143","89,215,776"
"Green Equity Investors CF, L.P.","158,717,298","141,299,022"
"Green Equity Investors IX, L.P.","143,551,614","170,418,888"
"Green Equity Investors V, L.P.",0,"3,722,059"
"Green Equity Investors VIII, L.P.","540,710,507","679,527,656"
"Greenbriar Equity Fund VI, L.P.","28,653,683","27,371,345"
"Greenleaf Co-Invest Partners, L.P.","460,814,705","626,303,864"
"GSC I, L.P.","299,453,546","299,229,255"
"GSO Energy Partners-C II, L.P.","59,731,607","14,091,481"
"GSO Energy Partners-C, L.P.","212,445,679","23,392,501"
"H&F ARROW 1, L.P.","52,537,845","114,514,639"
"H&F Clyde 1, L.P.","36,032,758","39,702,082"
"H.I.G. Europe Middle Market LBO Fund, L.P.","68,413,774","87,949,656"
"Healthcare and Fintech, L.P.","69,454,156","118,714,169"
Hedosophia Partners VI L.P.,"14,999,997","14,999,997"
"Hellman & Friedman Capital Partners IX, L.P.","620,263,616","921,611,597"
Hellman & Friedman Capital Partners VII,"31,894,543","25,929,275"
"Hellman & Friedman Capital Partners VIII, L.P.","339,824,523","576,161,919"
"Hellman & Friedman Capital Partners X, L.P.","664,816,187","780,470,270"
Hg Genesis 10 A L.P.,"26,408,443","27,773,512"
Hg Mercury 4 A L.P.,"5,359,051","4,704,831"
Hg Saturn 3 A L.P.,"58,419,586","61,168,987"
