0,1
Private Debt and Loans,
"Security Name
Book Value",Market Value
"Antares Credit Opportunities CA, LLC
685,288,735","628,818,888"
"Antares Credit Opportunities CA, LLC - Series 2
578,354,562","537,715,322"
"Antares Credit Opportunities CA, LLC - Series 3
391,239,759","342,661,866"
"Antares Credit Opportunities CA, LLC - Series 4
428,108,034","382,711,886"
"Ares Capital Europe V (D) Levered
814,331,424","856,109,883"
"Ares Capital Europe VI (ACE VI)
309,398,262","327,524,122"
"Ares Credit Investment Partnership (CP), L.P.
216,957,808","249,913,700"
"Ares European Credit Investments VII (CP), L.P.
267,429,513","339,322,589"
"Ares European Credit Investments VII (CP), L.P. -- ACE VI Co-Invest Pool
34,994,619","39,742,199"
"Ares Senior Credit Investment Partnership (CP), L.P.
124,900,000","128,517,398"
"Ares Senior Direct Lending Fund II
829,944,795","822,308,473"
"Ares SME (Parallel), L.P.
373,292,844","432,471,494"
"Blackstone Credit Series Fund-C, L.P. - Series A
421,005,775","467,907,082"
"Blackstone Credit Series Fund-C, L.P. - Series B
105,702,765","118,752,723"
"Blackstone Credit Series Fund-C, L.P. - Series C
87,451,561","88,071,330"
"Blackstone Real Estate Debt Strategies IV - C L.P.
671,506,585","599,855,143"
"Blue Owl Diversified Lending (CP)
514,595,808","521,788,314"
"Blue Owl Diversified Lending (CP) Co-Investment
308,757,485","313,951,095"
"Blue Owl Diversified Lending (CP) Overflow
59,740,260","61,216,382"
"Federated Trade Finance
1,436,284","584,689"
"Mesa West Real Estate Income Fund V (PF)
138,269,450","132,565,282"
"Oaktree Gilead Investment Fund, L.P.-Series A
336,737,500","446,696,817"
"OHA Co-Invest Opportunities Fund
305,279,695","474,670,688"
"OHA Credit Opportunities CA (C), L.P.
124,337,198","190,487,813"
"OHA Credit Solutions Fund II
271,188,863","325,685,621"
"OHA Credit Solutions Fund II (CA Parallel)
269,736,177","334,007,295"
"OHA Senior Private Lending Fund (CA 3)
229,989,098","290,161,146"
"OHA Senior Private Lending Fund (CA 5)
229,951,076","289,678,339"
"PIMCO DISCO Fund III, L.P.
696,760","23,293"
"Sixth Street Cottonwood Strategic Holdings I, L.P.
310,545,664","355,110,470"
"Sixth Street Fundamental Strategies Partners (A), L.P.
193,572,570","229,954,068"
"Sixth Street Mid-Stage Growth Partners (A), L.P.
67,071,687","70,944,622"
"Sixth Street TAO Partners (B), L.P.
722,953,085","907,878,451"
"West Street Co-Investment Partners (C), L.P.
348,266,795","380,833,768"
"West Street Loan Partners V Offshore Europe (USD), L.P.
40,500,000","40,500,000"
"West Street Loan Partners V Offshore Europe (USD), L.P. (Contractual co-investment)","9,000,000"
"West Street Mezzanine Co-Investment Partners (C), L.P.
210,929,961","236,479,829"
"West Street Mezzanine Partners VIII
343,382,010","377,246,344"
"West Street Mezzanine Partners VIII, pro rata co-invest
84,401,939","97,745,464"
"West Street Strategic Solutions Fund I-(C), L.P.
268,047,595","339,632,822"
"West Street Strategic Solutions Fund I, L.P.
1,086,724,230","1,299,617,905"
"TOTAL
12,816,018,233","14,088,864,612"
