0,1,2,3,4
Rate,Maturity Date,Par Value,Book Value,Market Value
8.38,7/1/2028,"2,324,000","2,392,333","2,438,387"
6.75,5/15/2028,"500,000","498,869","506,080"
6.38,2/1/2031,"307,000","303,712","307,703"
3.75,2/15/2031,"210,000","175,516","183,427"
6.25,10/1/2040,"87,000","73,076","72,704"
7.00,3/15/2032,"440,000","440,000","435,670"
6.75,4/15/2030,"1,868,000","1,794,416","1,851,412"
5.95,12/15/2036,"188,000","182,785","189,833"
6.50,3/31/2029,"1,960,000","1,771,109","1,882,874"
6.63,4/15/2029,"331,000","315,716","325,611"
4.88,3/1/2044,"22,000","19,262","19,814"
7.25,6/15/2029,"347,000","342,673","345,491"
4.75,4/15/2030,"812,000","695,844","731,295"
7.38,1/15/2031,"1,334,000","1,309,364","1,363,268"
6.00,1/15/2029,"1,330,000","1,274,149","1,304,251"
5.40,5/13/2064,"2,170,000","2,156,310","2,150,622"
5.30,5/13/2054,"1,280,000","1,272,609","1,271,386"
2.50,3/15/2051,"347,000","220,651","210,421"
3.00,3/5/2051,"513,000","363,060","346,203"
2.88,5/5/2041,"347,000","259,787","254,906"
2.50,6/1/2040,"4,000,000","2,830,658","2,806,040"
6.30,9/8/2053,"380,000","364,460","373,817"
3.15,1/15/2051,"360,000","203,187","222,322"
5.63,10/18/2043,"890,000","805,530","821,265"
6.44,1/26/2036,"1,040,000","1,066,164","1,067,425"
5.95,1/8/2034,"330,000","331,608","328,551"
3.63,8/1/2027,"300,000","282,739","283,596"
7.00,6/15/2027,"265,000","261,097","262,832"
7.00,6/15/2027,"1,139,000","1,133,556","1,128,464"
3.63,10/1/2031,"220,000","152,144","176,246"
3.38,10/1/2028,"5,637,000","4,738,673","4,831,924"
3.70,8/1/2047,"645,000","504,407","510,511"
5.50,5/15/2064,"597,000","567,362","574,451"
2.99,11/1/2063,"769,000","481,070","451,126"
2.65,8/15/2062,"523,000","296,258","284,800"
4.95,10/15/2058,"185,000","166,516","165,216"
2.94,11/1/2056,"5,544,000","3,228,405","3,344,751"
5.35,5/15/2053,"347,000","329,791","332,461"
4.05,11/1/2052,"137,000","106,882","106,165"
4.00,3/1/2048,"130,000","102,819","102,124"
4.00,8/15/2047,"260,000","205,060","204,196"
3.40,7/15/2046,"86,000","62,214","62,114"
4.60,8/15/2045,"141,000","121,378","122,601"
4.75,3/1/2044,"295,000","260,822","265,597"
4.65,7/15/2042,"147,000","129,784","131,628"
3.75,4/1/2040,"2,584,000","2,064,169","2,099,810"
3.20,7/15/2036,"397,000","326,329","320,780"
4.40,8/15/2035,"189,000","173,315","174,880"
4.20,8/15/2034,"251,000","227,885","230,089"
4.25,1/15/2033,"412,000","394,050","385,072"
6.46,11/1/2052,"107,000","116,051","118,216"
3.91,10/1/2050,"130,000","96,543","98,521"
3.82,10/1/2049,"35,000","25,670","26,670"
